key,tipo,id,produto,reg,ano,quantidade
15-25,DERIVADOS,25,Mosto concentrado,ANALITICO,1973,0
15-26,DERIVADOS,26,Mosto de uva com bagaço,ANALITICO,1973,0
15-27,DERIVADOS,27,Mosto dessulfitado,ANALITICO,1973,0
15-28,DERIVADOS,28,Mistelas,ANALITICO,1973,512900
15-29,DERIVADOS,29,Néctar de uva,ANALITICO,1973,0
15-30,DERIVADOS,30,Licorosos,ANALITICO,1973,176500
15-31,DERIVADOS,31,Compostos,ANALITICO,1973,1628000
15-32,DERIVADOS,32,Jeropiga,ANALITICO,1973,0
15-33,DERIVADOS,33,Filtrado,ANALITICO,1973,0
15-34,DERIVADOS,34,Frisante,ANALITICO,1973,0
15-35,DERIVADOS,35,Vinho leve,ANALITICO,1973,0
15-36,DERIVADOS,36,Vinho licoroso,ANALITICO,1973,0
15-37,DERIVADOS,37,Brandy,ANALITICO,1973,0
15-38,DERIVADOS,38,Destilado,ANALITICO,1973,0
15-39,DERIVADOS,39,Bagaceira,ANALITICO,1973,661270
15-40,DERIVADOS,40,Licor de bagaceira,ANALITICO,1973,0
15-41,DERIVADOS,41,Vinagre,ANALITICO,1973,0
15-42,DERIVADOS,42,Borra líquida,ANALITICO,1973,3559922
15-43,DERIVADOS,43,Borra seca,ANALITICO,1973,0
15-44,DERIVADOS,44,Vinho Composto,ANALITICO,1973,0
15-45,DERIVADOS,45,Pisco,ANALITICO,1973,0
15-46,DERIVADOS,46,Vinho orgânico,ANALITICO,1973,0
15-47,DERIVADOS,47,Espumante orgânico,ANALITICO,1973,0
15-48,DERIVADOS,48,Destilado alcoólico simples de bagaceira ,ANALITICO,1973,0
15-49,DERIVADOS,49,Vinho acidificado ,ANALITICO,1973,0
15-50,DERIVADOS,50,Mosto parcialmente fermentado ,ANALITICO,1973,0
15-51,DERIVADOS,51,Outros derivados,ANALITICO,1973,0
1-1,VINHO DE MESA,1,VINHO DE MESA,SINTETICO,1974,193875345
1-2,VINHO DE MESA,2,Tinto,ANALITICO,1974,146544484
1-3,VINHO DE MESA,3,Branco,ANALITICO,1974,4138768
1-4,VINHO DE MESA,4,Rosado,ANALITICO,1974,43192093
5-5,VINHO FINO DE MESA (VINÍFERA),5,VINHO FINO DE MESA (VINÍFERA),SINTETICO,1974,31644124
5-6,VINHO FINO DE MESA (VINÍFERA),6,Tinto,ANALITICO,1974,10047658
5-7,VINHO FINO DE MESA (VINÍFERA),7,Branco,ANALITICO,1974,18927471
5-8,VINHO FINO DE MESA (VINÍFERA),8,Rosado,ANALITICO,1974,2668995
9-9,SUCO,9,SUCO,SINTETICO,1974,0
9-10,SUCO,10,Suco de uva integral,ANALITICO,1974,0
9-11,SUCO,11,Suco de uva concentrado,ANALITICO,1974,0
9-12,SUCO,12,Suco de uva adoçado,ANALITICO,1974,0
9-13,SUCO,13,Suco de uva orgânico,ANALITICO,1974,0
9-14,SUCO,14,Suco de uva reconstituído,ANALITICO,1974,0
15-15,DERIVADOS,15,DERIVADOS,SINTETICO,1974,47904934
15-16,DERIVADOS,16,Espumante,ANALITICO,1974,0
15-17,DERIVADOS,17,Espumante moscatel,ANALITICO,1974,0
15-18,DERIVADOS,18,Base espumante,ANALITICO,1974,0
15-19,DERIVADOS,19,Base espumante moscatel,ANALITICO,1974,0
15-20,DERIVADOS,20,Base Champenoise champanha,ANALITICO,1974,0
15-21,DERIVADOS,21,Base Charmat champanha,ANALITICO,1974,0
15-22,DERIVADOS,22,Bebida de uva,ANALITICO,1974,0
15-23,DERIVADOS,23,Polpa de uva,ANALITICO,1974,0
15-24,DERIVADOS,24,Mosto simples,ANALITICO,1974,41346735
15-25,DERIVADOS,25,Mosto concentrado,ANALITICO,1974,0
15-26,DERIVADOS,26,Mosto de uva com bagaço,ANALITICO,1974,0
